Article_num,EAN,Map,Plant,Stor_loc,Material_description,Segment,Family,Class
493031697,8901063017559,18.12,U2RZ,1000,BRIT 5050 POT SPCY MST MSL BSC 71.5G PP,PROCESSED FOOD,BISCUITS & BRANDED BAKERY,BISCUITS
492848435,8904132937345,22.74,U2RZ,1000,MEISTER DEO BDY SP TWIST 27g 40ml CAN,FRAGRANCES,MASS MENS FRAGRANCE,BODY SPRAYS
491416449,8901058903966,14.45,U2RZ,1000,NESTLE MILKYBAR MOOSHA CHCLT 38G PP,CONFECTIONARY & SNACKS,CONFECTIONERY,CONFECTIONERY
493621378,8904132939684,44.1,U2RZ,1000,MY HOME KITCHEN TOWEL PK OF4 40X60cm,FURNISHINGS & DECOR,FURNISHINGS,TABLE & KITCHEN
490000090,8901786090501,31.86,U2RZ,1000,EVEREST CHOLE MASALA 50 g CBD,STAPLES,SPICES & CONDIMENTS,BLENDED SPICES
490005446,8902167000034,89.93,U2RZ,1000,MDH DEGHI MIRCH POWDER 100 g CBD,STAPLES,SPICES & CONDIMENTS,POWDER SPICES
491279754,8902901231373,35.74,U2RZ,1000,GOOD LIFE COMPOUNDED HING POWDER 50g PET,STAPLES,SPICES & CONDIMENTS,SPICES HING
494267405,8906171060060,38.22,U2RZ,1000,LE GEAR MULTIFUNCTIONAL BANDANNA ASSORTE,AUTO ACCESSORIES,TWO WHEELER,SAFETY
491439053,8904256005166,147.99,U2RZ,1000,NIV MLK DLGH FW ROSE SENTV SKN 100ML PET,PERSONAL CARE,SKIN PRODUCTS,SKIN CARE
491491665,8901765303202,15.87,U2RZ,1000,FLAIR STUDIO BLUE GEL PEN 5 PCS POUCH,STATIONERY,WRITING INSTRUMENTS  & ACCESSORIES,PENS & ACCESSORIES
491264443,8906069400015,122.39,U2RZ,1000,VEEBA MINT MAYONNAISE 300 G PET,PROCESSED FOOD,READY TO EAT,JAMS & SPREADS
490896773,8901138513184,115.25,U2RZ,1000,HIMALAYA GENTLE BABY WIPES 72 PCS PP,BABY CARE,BABY HYGN,BABY HYGN/GROOMING
490626663,8904082761304,23.88,U2RZ,1000,GAAY CHHAP JOWAR FLOUR 500 g PP,STAPLES,FLOURS,FLOURS
491127555,8901030844782,150.52,U2RZ,1000,LIRIL LMN&TTO SOAP 125gx3+75G FR CBD,PERSONAL CARE,SKIN PRODUCTS,BODY WASHING
491440351,8410179007496,123.46,U2RZ,1000,BORGES SPAGHTI BRNZ CUT DW PASTA 500g PP,PROCESSED FOOD,READY TO COOK,NOODLES & PASTA
491249718,8901063162525,63.8,U2RZ,1000,BRIT MARIE GLD BSC CMB B4G1F 468+117G PP,PROCESSED FOOD,BISCUITS & BRANDED BAKERY,BISCUITS
491187262,8902901224719,59.15,U2RZ,1000,GOOD LIFE B GRAM ROASTED SPLIT 500 g PP,STAPLES,PULSES,PULSES
491432913,8908010238401,15.76,U2RZ,1000,PUREORIGIN NPTHLN CNPRE BALLS 100 G PP,HOME CARE,HOUSEHOLD NEEDS,AIR FRESHNERS
490575436,8901396350200,55.23,U2RZ,1000,DETTOL ANTISEPTIC LIQUID 110ml PET,HEALTH,OTC,SKIN/SCALP TREATMENT PRODUCTS
493680490,8901725014605,32.55,U2RZ,1000,MANGALDEEP PRM FLRA MOGRA INCSTK 115gCBD,GM FMCG,Pooja Needs,Incense & Dhoop
492390764,8906064651757,50.23,U2RZ,1000,WINGRNS FARMS PIZZA&PASTA SAUCE 180G PCH,PROCESSED FOOD,READY TO EAT,SAUCES
491895762,8904250307921,41.59,U2RZ,1000,SHUBHKART NIRMAL MOGRA AGARBTTI 250g WRP,GM FMCG,Pooja Needs,Incense & Dhoop
490000493,8906002482450,31.83,U2RZ,1000,SNICKERS PENAUTS CHOCOLATE 45g PP,CONFECTIONARY & SNACKS,CONFECTIONERY,CONFECTIONERY
490175350,8902901070415,43.28,U2RZ,1000,LOOSE JEERASAR RICE,STAPLES,RICE,RICE
490175350,8902901070415,43.28,U2RZ,2997,LOOSE JEERASAR RICE,STAPLES,RICE,RICE
490020765,8901571011032,130.2,U2RZ,1000,ENO LEMON FLAVOUR FRUIT SALT 100g PET,HEALTH,OTC,GASTROINTESTINAL REMEDY PRODUCTS
490155015,490155015,81.21,U2RZ,1000,LOOSE CHANA DAL,STAPLES,PULSES,PULSES
490155015,490155015,81.21,U2RZ,2997,LOOSE CHANA DAL,STAPLES,PULSES,PULSES
491185145,8902901222838,10.42,U2RZ,1000,GOOD LIFE FINE MUSTARD 100g PP,STAPLES,SPICES & CONDIMENTS,WHOLE SPICES
492165820,8906110965807,26.11,U2RZ,1000,SUPREMO A4 REGISTER 120 PG UNR B1G1 ASRT,STATIONERY,PAPER PRODUCTS,NOTE BOOKS
491537723,8904109450778,50.72,U2RZ,1000,PATANJALI HRBL WS NMNRSE DTRGT PWD1KG PP,HOME CARE,FABRIC CARE,LAUNDRY DETERGENTS
493627459,8901108102752,53.12,U2RZ,1000,NIRMA SUPER DETERGENT CAKE 250G X4 WRP,HOME CARE,FABRIC CARE,LAUNDRY DETERGENTS
493660805,8901725001025,29.75,U2RZ,1000,MD ANUSHRI MOGRA PUJA AGRBTTI 120N WRAP,GM FMCG,Pooja Needs,Incense & Dhoop
491551670,8904132912762,19.96,U2RZ,1000,SNACTAC KHATTA MEETHA 150 g PP,CONFECTIONARY & SNACKS,SNACKS,SNACKS
491539426,8901808006190,20.92,U2RZ,1000,WEIKFIELD BAKING SODA 100g PET,PROCESSED FOOD,READY TO COOK,DESSERTS &  MIXES
491601817,8904317300834,175.94,U2RZ,1000,BIO HERBCOLR 3NDARK BRWN 50 g+110 ml CBD,PERSONAL CARE,HAIR PRODUCTS,HAIR CARE
493661512,8904132946293,56.54,U2RZ,1000,GOOD LIFE SAFFRON 0.25g CBD,STAPLES,SPICES & CONDIMENTS,WHOLE SPICES
490002007,8901052000913,469.32,U2RZ,1000,TATA GOLD LEAF TEA 1kg PP,BEVERAGES,TEA & COFFEE,TEA
490000491,8901058001198,83.78,U2RZ,1000,MAGGI RICH TOMATO KETCHUP 485g BTL,PROCESSED FOOD,READY TO EAT,SAUCES
493830107,8906044249714,11,U2RZ,1000,SAYA ZIP LOCK A5 NEW PLASTIC ZIP,STATIONERY,OFFICE CONSUMABLES & STATIONERY,FOLDERS & ACCESSORIES
491016281,8901314308108,175.02,U2RZ,1000,COLGT MXFRS SPCY CC RD GL TP 150+150gCBD,PERSONAL CARE,P'SONAL HYGN,ORAL HYGN
491294921,8901860010197,28.8,U2RZ,1000,PDLT FVKWK GEL ONE DRP INST ADHSV 3g CBD,GM FMCG,Hardlines,Bonding & Sealing
490972552,8901030979446,123.21,U2RZ,1000,LAKME EYECONIC KAJAL DEEP BLACK 0.35gCBD,PERSONAL CARE,SKIN CARE,FACE CARE
492848419,8904132934580,39.33,U2RZ,1000,GET REAL COCONUT OIL 175ML PET,PERSONAL CARE,HAIR PRODUCTS,HAIR CARE
491586564,8906065169695,124.26,U2RZ,1000,ITC VEGGIE PIZZA POCKETS 340 G CBD,FROZEN VEG. / SNACKS,FROZEN SNACKS,BAKERY BASED
494400650,8904132976320,37.35,U2RZ,1000,Ravalgaon MANGO MOOD Candy 435gm Pch,CONFECTIONARY & SNACKS,CONFECTIONERY,CONFECTIONERY
491696226,8902710508703,93.33,U2RZ,1000,BAGRRYS CHOCO FILLS+ 250 g CBD,PROCESSED FOOD,READY TO EAT,BREAKFAST CEREALS
490008041,8901063092471,17.7,U2RZ,1000,BRITANNIA GOOD DAY BUTTR COOKIES 150G PP,PROCESSED FOOD,BISCUITS & BRANDED BAKERY,BISCUITS
490003818,8901491101813,13.62,U2RZ,1000,LAYS AMRCN STYL CRM N ONN PTT CHP 48G PP,CONFECTIONARY & SNACKS,SNACKS,SNACKS
492334561,8904132926479,43,U2RZ,1000,HOME ONE FTHR SFT FCL TSU 200PLX2PLY CBD,GM FMCG,Disposable Goods,Face Tissues
490470664,8901595963317,13.88,U2RZ,1000,CHINGS SECRET MANCHURIAN NOODLES 60 g PP,PROCESSED FOOD,READY TO COOK,NOODLES & PASTA
490959906,8901423000238,121.43,U2RZ,1000,DYNAMIX COW GHEE 200 ml PET,DAIRY,DAIRY - STAPLE,GHEE
492923468,8904395001012,280.45,U2RZ,1000,NATUROZ DAILY CALIFORNIA ALMONDS 500G PP,STAPLES,DRY FRUITS,DRY FRUITS
490007028,8901023017506,100.9,U2RZ,1000,GOODKNIGHT PWR ACTVPLSCRT TWN PK 45mlCBD,HOME CARE,INSECT CONTROL,INSECT CONTROL PRODUCTS
491439066,8904132912588,36.04,U2RZ,1000,PETALS ULTRA COMFORT XL 274 mm 8 PADS PP,PERSONAL CARE,P'SONAL HYGN,FEM HYGN
493721035,8904132956667,108.38,U2RZ,1000,QW A4 NOTEBOOK RANKA 172 PAGES PO3 RULED,STATIONERY,PAPER PRODUCTS,NOTE BOOKS
490012807,8901207045370,32.37,U2RZ,1000,DABUR HONEY 50G JAR,PROCESSED FOOD,READY TO EAT,HEALTH SUPPLEMENTS
491569345,8903622005083,714.84,U2RZ,1000,MAMYPOKO PNT XTR ABSRB 12-17kg XL 46N PP,BABY CARE,BABY HYGN,BABY HYGN/GROOMING
493661118,8901396118206,108.24,U2RZ,1000,LIZOL ALLIN1 DFC SRFC CLNR CTRS 750mlPCH,HOME CARE,HOUSEHOLD CLEANING,SURFACE CLEANING
492862377,8901764112270,18.93,U2RZ,2997,COCA COLA ZERO SUGAR 750 ml PET,BEVERAGES,DRINKS,CARBONATED SOFT DRINKS
492862377,8901764112270,18.93,U2RZ,1000,COCA COLA ZERO SUGAR 750 ml PET,BEVERAGES,DRINKS,CARBONATED SOFT DRINKS
491586411,8904132917057,107.11,U2RZ,1000,AARAMBH DANEDAR ASSAM TEA 500 g PP,BEVERAGES,TEA & COFFEE,TEA
490001895,8906002000494,60.75,U2RZ,1000,DR.OETKR FUNFDS ORGN VEG MAYONS 250G PET,PROCESSED FOOD,READY TO EAT,JAMS & SPREADS
492650532,8904222941443,67.9,U2RZ,1000,POLYSET MARVEL BATHSET SO3,HOUSEWARE,Home Essential,Bath Essential
490064672,8901808000013,17.41,U2RZ,1000,WEIKFIELD BAKING POWDER 50 g PET,PROCESSED FOOD,READY TO COOK,DESSERTS &  MIXES
492578833,8901719120992,76.44,U2RZ,1000,PARLE MONACO CLSC RGLR BSCT 700G PP,PROCESSED FOOD,BISCUITS & BRANDED BAKERY,BISCUITS
490985893,8901526102662,591.27,U2RZ,1000,LOREAL PARIS TOTL RPR5 DH SHMP 650ml PET,PERSONAL CARE,HAIR PRODUCTS,HAIR CARE
491934540,8904132924185,73,U2RZ,1000,HO ELITE PL CNTNR SO4 1L X 2 500ml X 2,HOUSEWARE,Kitchen Storage,Containers
493644571,8904125423510,38.81,U2RZ,1000,QIPS TRANS PENCIL BAG HMHMPB6019-QIPS,STATIONERY,SCHOOL & ART PRODUCTS,PENCIL CASES
490999971,8901725921378,113.65,U2RZ,1000,FIAMA BRBRY&BKCRNT GLBR SOAP 125GX3N CBD,PERSONAL CARE,SKIN PRODUCTS,BODY WASHING
492334922,4987176162762,297.4,U2RZ,1000,ARIEL MATIC LIQUID DET TL 2L PCH,HOME CARE,FABRIC CARE,LAUNDRY DETERGENTS
492366787,8901396389101,103.77,U2RZ,1000,DETTOL FOAM HNDWSH ALOECOCONT PUMP 250ml,PERSONAL CARE,SKIN PRODUCTS,BODY WASHING
491335411,8908005103318,60.36,U2RZ,1000,ZHAKHAAS MOONGODI 400G PP,PROCESSED FOOD,READY TO COOK,READY TO FRY
493830793,8904276132569,68.77,U2RZ,1000,MODWARE MONACO PLS STL INS CASERL ASR 1L,HOUSEWARE,TABLEWARE,THERMOWARE
490005255,8906001051343,55.72,U2RZ,1000,MOTHER RECP STUFF RED CHLIPICK 200 g PCH,PROCESSED FOOD,READY TO EAT,PICKLES
491278648,8904109451911,31.55,U2RZ,1000,PATANJALI HLDI CHDN KTI BDY CLNSR150G PP,PERSONAL CARE,PERSONAL WASH,BODYWASH
493656160,8904132945586,5.25,U2RZ,1000,ENZO ULTRA WHITE BRIGHT DET BAR 145g PP,HOME CARE,FABRIC CARE,LAUNDRY DETERGENTS
491187252,8902901224610,85.22,U2RZ,1000,GOOD LIFE CHANA DAL 1 kg PP,STAPLES,PULSES,PULSES
